id,created_at,text,media_url
902348291840458752,2017-08-29 01:52:52,"b""Happy Chinese Valentine's Day \xe6\x9c\x89\xe4\xba\x9b\xe5\x9f\x8e\xe5\xb8\x82\xe8\xbf\x98\xe5\x9c\xa8\xe8\xbf\x87\xe4\xb8\x83\xe5\xa4\x95 \xf0\x9f\x92\x95 https://t.co/MZPozCbvJX""",http://pbs.twimg.com/media/DIXIzUyVYAA9M26.jpg
898821280341688320,2017-08-19 08:17:47,"b""That's a scary typo.... https://t.co/OlglfUmMcp""",http://pbs.twimg.com/media/DHlBL2jVwAABDwT.jpg
890403747578339328,2017-07-27 02:49:30,b'A friend saw me on this wall.... Guess where? https://t.co/wG8NtIGG4u',http://pbs.twimg.com/media/DFtZbU2UIAA6ZcO.jpg
883908052902002688,2017-07-09 04:37:56,"b'Quite a fun experience at F5 Future Store, unmanned! @sinovationvc \xe5\x89\xb5\xe6\x96\xb0\xe5\xb7\xa5\xe5\xa0\xb4\xe6\x9c\x80\xe8\xbf\x91\xe6\x8a\x95\xe8\xb3\x87\xe4\xba\x86\xe6\x9c\xaa\xe4\xbe\x86\xe5\x95\x86\xe5\xba\x97\xef\xbc\x8c\xe7\x82\xba\xe8\x87\xaa\xe5\x8b\x95\xe5\x8c\x96\xe6\x99\x82\xe4\xbb\xa3\xe4\xbe\x86\xe8\x87\xa8\xe6\xba\x96\xe5\x82\x99 https://t.co/6zV3TcKagC https://t.co/5SvvGOcs3x'",http://pbs.twimg.com/media/DERFrQLUAAISWan.jpg
874980139926396928,2017-06-14 13:21:36,b'\xe7\xb1\xb3\xe5\x85\xb6\xe6\x9e\x97\xe5\xa4\xa7\xe5\xbb\x9a\xef\xbc\x8c\xe6\x9e\x9c\xe7\x84\xb6\xe4\xb8\x8d\xe5\x90\x8c\xe5\x87\xa1\xe9\x9f\xbf\xe3\x80\x82\xe6\x81\xad\xe5\x96\x9cS Hotel \xe9\x96\x8b\xe6\xa5\xad\xef\xbc\x81 https://t.co/tdu7Sz2Eeq',http://pbs.twimg.com/media/DCSNxOqVoAAA1bl.jpg
874091576175112192,2017-06-12 02:30:46,b'\xe6\x8e\xa5\xe5\x8f\x97@qz \xe5\xb0\x88\xe8\xa8\xaa\xef\xbc\x8c\xe4\xba\xba\xe5\xb7\xa5\xe6\x99\xba\xe8\x83\xbd\xe6\x9c\x83\xe7\x99\xbc\xe5\xb1\x95\xe6\x88\x90\xe7\xbe\x8e\xe5\x8a\x87\xe3\x80\x8a\xe8\xa5\xbf\xe9\x83\xa8\xe4\xb8\x96\xe7\x95\x8c\xe3\x80\x8b\xe9\x82\xa3\xe6\xa8\xa3\xe5\x97\x8e\xef\xbc\x9f\xe7\x82\xba\xe4\xbb\x80\xe9\xba\xbc\xe6\x88\x91\xe4\xb8\x8d\xe6\x9c\x83\xe6\x8a\x95\xe8\xb3\x87VR\xe9\x81\x8a\xe6\x88\xb2\xef\xbc\x9f@sinovationvc https://t.co/xz4qpDw18b',http://pbs.twimg.com/ext_tw_video_thumb/874091422491721728/pu/img/20rHypZe3DE7oZif.jpg
867521743019155456,2017-05-24 23:24:35,b'\xe5\x8d\x81\xe5\xa4\xa9\xe7\x9a\x84\xe7\xbe\x8e\xe5\x9c\x8b\xe8\xa1\x8c\xef\xbc\x8c\xe6\x84\x9f\xe8\xa6\xba\xe5\x88\xb0\xe4\xba\x86\xe7\xbe\x8e\xe5\x9c\x8b\xe5\x89\xb5\xe6\xa5\xad\xe9\xa0\x98\xe5\x9f\x9f\xe7\x9a\x84\xe5\x89\xb5\xe6\x96\xb0\xe5\x8a\x9b\xe9\x87\x8f\xef\xbc\x8c\xe4\xbd\x86\xe6\x98\xaf\xe4\xb9\x9f\xe6\x84\x9f\xe8\xa6\xba\xe5\x88\xb0\xe7\xbe\x8e\xe5\x9c\x8b\xe5\xb0\x8d\xe6\x96\xbc\xe6\x9c\xac\xe5\x9c\x8b\xe7\x99\xbc\xe5\xb1\x95\xe7\x9a\x84\xe6\x93\x94\xe5\xbf\x83\xef\xbc\x8c\xe5\xb0\x8d\xe4\xb8\xad\xe5\x9c\x8b\xe5\xbf\xab\xe9\x80\x9f\xe7\x99\xbc\xe5\xb1\x95\xe7\x9a\x84\xe5\xa5\xbd\xe5\xa5\x87\xe3\x80\x81\xe4\xbd\xa9\xe6\x9c\x8d\xef\xbc\x88\xe5\x92\x8c\xe4\xb8\x8d\xe7\x9e\xad\xe8\xa7\xa3\xef\xbc\x8c\xe5\x92\x8c\xe9\x83\xa8\xe5\x88\x86\xe4\xba\xba\xe5\xa3\xab\xe7\x9a\x84\xe4\xbd\x8e\xe4\xbc\xb0\xef\xbc\x89\xe3\x80\x82\xe7\xbe\x8e\xe5\x9c\x8b\xe7\x9a\x84\xe9\xa0\x82\xe5\xb0\x96\xe7\xa7\x91\xe6\x8a\x80+\xe4\xb8\xad\xe5\x9c\x8b\xe7\x9a\x84\xe5\xb8\x82\xe5\xa0\xb4\xe5\x92\x8c\xe5\x9f\xb7\xe8\xa1\x8c\xe5\x8a\x9b\xef\xbc\x8c\xe5\x85\xb6\xe5\xaf\xa6\xe6\x98\xaf\xe6\x9c\x80\xe5\xa5\xbd\xe7\x9a\x84\xe5\x89\xb5\xe9\x80\xa0\xe5\x83\xb9\xe5\x80\xbc\xe6\xa9\x9f\xe6\x9c\x83\xe3\x80\x82 https://t.co/kexwCzxMfc',http://pbs.twimg.com/media/DAoOau9XcAExGC-.jpg
866819198810324994,2017-05-23 00:52:56,b'Bloomberg West \xe6\x8e\xa1\xe8\xa8\xaa\xe3\x80\x82\xe8\xab\x87\xe5\x88\xb0\xe8\xbb\x9f\xe9\x8a\x80\xe7\x9a\x841000\xe5\x84\x84\xe5\x9f\xba\xe9\x87\x91\xef\xbc\x8c\xe5\x89\xb5\xe6\x96\xb0\xe5\xb7\xa5\xe5\xa0\xb4\xe7\x9a\x84\xe4\xba\xba\xe5\xb7\xa5\xe6\x99\xba\xe8\x83\xbd\xe5\x84\xaa\xe5\x8b\xa2\xef\xbc\x8c\xe9\x87\x91\xe8\x9e\x8d\xe9\xa0\x98\xe5\x9f\x9f\xe5\xb0\x87\xe5\xa6\x82\xe4\xbd\x95\xe8\xa2\xab\xe4\xba\xba\xe5\xb7\xa5\xe6\x99\xba\xe8\x83\xbd\xe9\xa1\x9b\xe8\xa6\x86\xef\xbc\x8c\xe9\x82\x84\xe6\x9c\x89\xe6\x88\x91\xe5\x9c\xa8\xe5\x93\xa5\xe5\xa4\xa7\xe7\x9a\x84\xe7\x95\xa2\xe6\xa5\xad\xe6\xbc\x94\xe8\xac\x9b\xe3\x80\x82 https://t.co/2EouJ6MKMK',http://pbs.twimg.com/media/DAePdPOXUAEg2_9.jpg
866154796142665728,2017-05-21 04:52:50,b'\xe8\xb6\x85\xe7\xb4\x9a\xe7\xb7\x8a\xe5\xbc\xb5\xe7\xbe\x8e\xe6\x9d\xb1\xe5\xb7\xa5\xe4\xbd\x9c\xe5\x91\xa8\xe7\x9a\x84\xe6\x9c\x80\xe5\xbe\x8c\xe4\xb8\x80\xe5\xa4\x9c\xef\xbc\x81\xe5\xb8\xb6\xe5\x9c\x98\xe9\x9a\x8a\xe5\xa4\x9c\xe9\x81\x8a\xe7\xb4\x90\xe7\xb4\x84\xef\xbc\x8cLe Coucou\xe6\xb3\x95\xe9\xa4\x90+1984\xe8\xa9\xb1\xe5\x8a\x87+\xe5\x8d\x88\xe5\xa4\x9c\xe5\x86\xb0\xe6\xbf\x80\xe5\x87\x8c+wine bar\xe3\x80\x82 https://t.co/a0vrKYv5AM',http://pbs.twimg.com/media/DAUzHntUQAA_rM4.jpg
865051020014960640,2017-05-18 03:46:49,b'\xe4\xbb\x8a\xe5\xa4\xa9\xe5\x9c\xa8MIT \xe5\x8e\xbb\xe7\x9c\x8b\xe4\xba\x86CSAIL \xe5\x92\x8c Media Lab\xe5\x85\xa9\xe5\x80\x8b\xe5\xaf\xa6\xe9\xa9\x97\xe5\xae\xa4\xe3\x80\x82\xe4\xb9\x8b\xe5\xbe\x8c\xe5\x81\x9a\xe4\xba\x86\xe4\xba\xba\xe5\xb7\xa5\xe6\x99\xba\xe8\x83\xbd\xe6\x96\xb9\xe9\x9d\xa2\xe7\x9a\x84\xe6\xbc\x94\xe8\xac\x9b\xe3\x80\x82 https://t.co/oqrtmU5hZd',http://pbs.twimg.com/media/DAFHTVnUMAIfI_O.jpg
